datninja points saved 25-Nov-2008 06:07:41 
Image file: exampleB.tif
reference: 265.1 30.9 0.4 5
reference: 79.1 214.9 0 2
reference: 264.9 338.9 0.4 0
reference: 79.1 31.0 0 5
reference: 545.0 31.0 1 5
reference: 544.9 338.9 1 0
data: 545.0 42.9 1.00017 4.80771
data: 498.0 90.0 0.89926 4.04201
data: 450.9 147.9 0.798349 3.10073
data: 405.0 176.0 0.699875 2.64504
data: 357.9 227.9 0.598897 1.80129
data: 312.0 267.0 0.500379 1.16442
data: 265.1 291.0 0.399664 0.774401
data: 217.9 314.0 0.298556 0.399684
data: 172.1 331.9 0.200176 0.109045
data: 125.0 332.9 0.0990887 0.0915932
data: 79.0 337.0 0.000396315 0.0241355
