datninja points saved 25-Nov-2008 06:19:46 
Image file: exampleC.tif
reference: 106.7 244.4 0 3
reference: 505.5 360.9 0.8 0
reference: 267.8 90.7 0.4 5
reference: 128.0 365.2 0 1
reference: 320.9 393.9 0.4 0
reference: 544.0 41.7 1 5
reference: 597.0 345.0 1 0
reference: 85.1 122.1 0 5
data: 545.9 53.7 1.00023 4.80235
data: 507.8 107.8 0.899552 4.044
data: 471.6 173.2 0.798593 3.10051
data: 430.9 208.9 0.699336 2.64529
data: 393.9 268.2 0.59918 1.80152
data: 355.2 314.5 0.500167 1.1697
data: 313.4 346.1 0.399869 0.782663
data: 271.0 377.1 0.29879 0.407744
data: 229.0 403.0 0.200304 0.111785
data: 182.8 412.2 0.0992537 0.0956281
data: 138.1 424.0 0.000305875 0.0328399
