datninja points saved 25-Nov-2008 06:47:37 
Image file: exampleD.tif
reference: 726.0 60.9 10 0
reference: 352.9 712.9 4 -5
reference: 726.0 712.9 10 -5
reference: 105.1 191.0 0 -1
reference: 105.1 321.0 0 -2
reference: 105.1 451.9 0 -3
reference: 105.0 581.9 0 -4
reference: 105.1 713.0 0 -5
data: 722.0 624.0 9.93808 4.81105e-05
data: 691.1 596.0 9.43998 7.88278e-05
data: 666.1 572.8 9.03722 0.000118699
data: 640.0 548.9 8.61731 0.000181058
data: 608.0 520.0 8.10101 0.00030157
data: 579.0 492.9 7.63397 0.000486072
data: 553.0 469.0 7.21514 0.000741431
data: 525.1 443.9 6.76524 0.00115371
data: 497.0 418.0 6.3132 0.00182284
data: 475.1 397.9 5.95971 0.00259762
data: 458.1 383.0 5.68549 0.00337808
data: 438.0 365.1 5.36307 0.00463655
data: 426.1 354.0 5.17025 0.00563313
data: 404.1 333.9 4.81569 0.00802743
data: 385.0 317.0 4.50827 0.0108258
data: 371.1 303.0 4.28545 0.0138495
data: 360.0 293.8 4.10657 0.0162825
data: 354.1 288.0 4.01016 0.0180528
data: 344.9 280.0 3.86234 0.020781
data: 335.0 271.0 3.70381 0.0243747
data: 326.0 262.9 3.55813 0.0281243
data: 316.2 252.9 3.39959 0.0335343
data: 306.9 245.1 3.2507 0.0384664
data: 296.1 235.0 3.07609 0.0459733
data: 284.0 225.0 2.88221 0.05488
data: 277.9 219.0 2.78366 0.06099
data: 267.1 207.9 2.60905 0.0740999
data: 257.1 200.1 2.44838 0.0850974
data: 249.1 191.9 2.31877 0.0984195
data: 240.0 184.1 2.17202 0.112895
data: 229.9 174.9 2.0092 0.132729
data: 222.1 168.0 1.88387 0.149771
data: 211.0 157.1 1.70498 0.181538
data: 203.2 151.0 1.57966 0.20222
data: 192.9 141.1 1.41362 0.241118
data: 186.0 134.1 1.30221 0.272719
data: 176.1 126.1 1.14368 0.313931
data: 169.0 118.9 1.02906 0.356327
data: 159.1 109.8 0.869457 0.418438
data: 154.0 106.1 0.786981 0.446838
data: 145.1 96.9 0.643438 0.525348
data: 137.1 89.9 0.514897 0.594194
data: 128.1 81.9 0.369218 0.683991
data: 121.2 76.0 0.258888 0.759245
data: 111.0 66.0 0.0939225 0.906355
